amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
2.08,community-infrastructure-levy,18/01030/FUL-ag,18/01030/FUL- con,,2020-11-26,local-authority-eng:NEA,2019-04-05,,/developer-agreement-contribution/local-authority-eng/NEA/18-01030-FUL--con
20.3,neighbourhood-community-infrastructure-levy,18/01030/FUL-ag,18/01030/FUL- con,,2020-11-26,local-authority-eng:NEA,2019-04-05,,/developer-agreement-contribution/local-authority-eng/NEA/18-01030-FUL--con
182.25,community-infrastructure-levy,17/00959/FUL-ag,17/00959/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-12-03,,/developer-agreement-contribution/local-authority-eng/NEA/17-00959-FUL-con
1776.26,neighbourhood-community-infrastructure-levy,17/00959/FUL-ag,17/00959/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-12-03,,/developer-agreement-contribution/local-authority-eng/NEA/17-00959-FUL-con
773.02,community-infrastructure-levy,19/00490/FUL-ag,19/00490/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-03-20,,/developer-agreement-contribution/local-authority-eng/NEA/19-00490-FUL-con
7534.05,neighbourhood-community-infrastructure-levy,19/00490/FUL-ag,19/00490/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-03-20,,/developer-agreement-contribution/local-authority-eng/NEA/19-00490-FUL-con
1713.5,community-infrastructure-levy,17/01055/RMAM-ag,17/01055/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-05-16,,/developer-agreement-contribution/local-authority-eng/NEA/17-01055-RMAM-con
16700.25,neighbourhood-community-infrastructure-levy,17/01055/RMAM-ag,17/01055/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-05-16,,/developer-agreement-contribution/local-authority-eng/NEA/17-01055-RMAM-con
291.74,community-infrastructure-levy,18/02304/FUL-ag,18/02304/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-07-10,,/developer-agreement-contribution/local-authority-eng/NEA/18-02304-FUL-con
4738.99,neighbourhood-community-infrastructure-levy,18/02304/FUL-ag,18/02304/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-07-10,,/developer-agreement-contribution/local-authority-eng/NEA/18-02304-FUL-con
268.51,community-infrastructure-levy,18/00953/FUL-ag,18/00953/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-10-17,,/developer-agreement-contribution/local-authority-eng/NEA/18-00953-FUL-con
4361.65,neighbourhood-community-infrastructure-levy,18/00953/FUL-ag,18/00953/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-10-17,,/developer-agreement-contribution/local-authority-eng/NEA/18-00953-FUL-con
3804.69,community-infrastructure-levy,18/00526/RMAM-ag,18/00526/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-10-25,,/developer-agreement-contribution/local-authority-eng/NEA/18-00526-RMAM-con
37081.47,neighbourhood-community-infrastructure-levy,18/00526/RMAM-ag,18/00526/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-10-25,,/developer-agreement-contribution/local-authority-eng/NEA/18-00526-RMAM-con
3804.67,community-infrastructure-levy,18/00526/RMAM-ag,18/00526/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-11-27,,/developer-agreement-contribution/local-authority-eng/NEA/18-00526-RMAM-con
37081.25,neighbourhood-community-infrastructure-levy,18/00526/RMAM-ag,18/00526/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-11-27,,/developer-agreement-contribution/local-authority-eng/NEA/18-00526-RMAM-con
233.95,community-infrastructure-levy,17/02215/RMA-ag,17/02215/RMA-con,,2020-11-26,local-authority-eng:NEA,2019-06-04,,/developer-agreement-contribution/local-authority-eng/NEA/17-02215-RMA-con
2280.16,neighbourhood-community-infrastructure-levy,17/02215/RMA-ag,17/02215/RMA-con,,2020-11-26,local-authority-eng:NEA,2019-06-04,,/developer-agreement-contribution/local-authority-eng/NEA/17-02215-RMA-con
15.3,community-infrastructure-levy,18/02146/FUL-ag,18/02146/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-05-07,,/developer-agreement-contribution/local-authority-eng/NEA/18-02146-FUL-con
149.1,neighbourhood-community-infrastructure-levy,18/02146/FUL-ag,18/02146/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-05-07,,/developer-agreement-contribution/local-authority-eng/NEA/18-02146-FUL-con
32.09,community-infrastructure-levy,17/01248/FUL-ag,17/01248/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-09-18,,/developer-agreement-contribution/local-authority-eng/NEA/17-01248-FUL-con
312.74,neighbourhood-community-infrastructure-levy,17/01248/FUL-ag,17/01248/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-09-18,,/developer-agreement-contribution/local-authority-eng/NEA/17-01248-FUL-con
15.16,community-infrastructure-levy,18/00710/FUL phase 2b-ag,18/00710/FUL phase 2b-con,,2020-11-26,local-authority-eng:NEA,2019-11-05,,/developer-agreement-contribution/local-authority-eng/NEA/18-00710-FUL-phase-2b-con
147.73,neighbourhood-community-infrastructure-levy,18/00710/FUL phase 2b-ag,18/00710/FUL phase 2b-con,,2020-11-26,local-authority-eng:NEA,2019-11-05,,/developer-agreement-contribution/local-authority-eng/NEA/18-00710-FUL-phase-2b-con
339.14,community-infrastructure-levy,18/01020/FULM-ag,18/01020/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-01-15,,/developer-agreement-contribution/local-authority-eng/NEA/18-01020-FULM-con
3305.38,neighbourhood-community-infrastructure-levy,18/01020/FULM-ag,18/01020/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-01-15,,/developer-agreement-contribution/local-authority-eng/NEA/18-01020-FULM-con
37.59,community-infrastructure-levy,14/00353/FUL-ag,14/00353/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-03-05,,/developer-agreement-contribution/local-authority-eng/NEA/14-00353-FUL-con
366.41,neighbourhood-community-infrastructure-levy,14/00353/FUL-ag,14/00353/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-03-05,,/developer-agreement-contribution/local-authority-eng/NEA/14-00353-FUL-con
223.85,community-infrastructure-levy,18/02153/FUL-ag,18/02153/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-01-06,,/developer-agreement-contribution/local-authority-eng/NEA/18-02153-FUL-con
2181.74,neighbourhood-community-infrastructure-levy,18/02153/FUL-ag,18/02153/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-01-06,,/developer-agreement-contribution/local-authority-eng/NEA/18-02153-FUL-con
298.26,community-infrastructure-levy,18/00597/FULM-ag,18/00597/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-09-06,,/developer-agreement-contribution/local-authority-eng/NEA/18-00597-FULM-con
2906.93,neighbourhood-community-infrastructure-levy,18/00597/FULM-ag,18/00597/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-09-06,,/developer-agreement-contribution/local-authority-eng/NEA/18-00597-FULM-con
757.86,community-infrastructure-levy,17/01846/FUL-ag,17/01846/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-06-07,,/developer-agreement-contribution/local-authority-eng/NEA/17-01846-FUL-con
7386.32,neighbourhood-community-infrastructure-levy,17/01846/FUL-ag,17/01846/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-06-07,,/developer-agreement-contribution/local-authority-eng/NEA/17-01846-FUL-con
458.08,community-infrastructure-levy,17/01846/FUL-ag,17/01846/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-06-21,,/developer-agreement-contribution/local-authority-eng/NEA/17-01846-FUL-con
4464.58,neighbourhood-community-infrastructure-levy,17/01846/FUL-ag,17/01846/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-06-21,,/developer-agreement-contribution/local-authority-eng/NEA/17-01846-FUL-con
88.29,community-infrastructure-levy,18/01497/FUL-ag,18/01497/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-02-14,,/developer-agreement-contribution/local-authority-eng/NEA/18-01497-FUL-con
860.51,neighbourhood-community-infrastructure-levy,18/01497/FUL-ag,18/01497/FUL-con,,2020-11-26,local-authority-eng:NEA,2020-02-14,,/developer-agreement-contribution/local-authority-eng/NEA/18-01497-FUL-con
4853.22,community-infrastructure-levy,15/01295/FULM-ag,15/01295/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-05-29,,/developer-agreement-contribution/local-authority-eng/NEA/15-01295-FULM-con
78834.54,neighbourhood-community-infrastructure-levy,15/01295/FULM-ag,15/01295/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-05-29,,/developer-agreement-contribution/local-authority-eng/NEA/15-01295-FULM-con
2520.28,community-infrastructure-levy,18/01645/RMAM-ag,18/01645/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-06-12,,/developer-agreement-contribution/local-authority-eng/NEA/18-01645-RMAM-con
40938.76,neighbourhood-community-infrastructure-levy,18/01645/RMAM-ag,18/01645/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-06-12,,/developer-agreement-contribution/local-authority-eng/NEA/18-01645-RMAM-con
2520.28,community-infrastructure-levy,18/01645/RMAM-ag,18/01645/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-08-30,,/developer-agreement-contribution/local-authority-eng/NEA/18-01645-RMAM-con
40938.73,neighbourhood-community-infrastructure-levy,18/01645/RMAM-ag,18/01645/RMAM-con,,2020-11-26,local-authority-eng:NEA,2019-08-30,,/developer-agreement-contribution/local-authority-eng/NEA/18-01645-RMAM-con
2520.28,community-infrastructure-levy,18/01645/RMAM-ag,18/01645/RMAM-con,,2020-11-26,local-authority-eng:NEA,2020-03-11,,/developer-agreement-contribution/local-authority-eng/NEA/18-01645-RMAM-con
40938.73,neighbourhood-community-infrastructure-levy,18/01645/RMAM-ag,18/01645/RMAM-con,,2020-11-26,local-authority-eng:NEA,2020-03-11,,/developer-agreement-contribution/local-authority-eng/NEA/18-01645-RMAM-con
1468.94,community-infrastructure-levy,14/00161/FULM-ag,14/00161/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-06-28,,/developer-agreement-contribution/local-authority-eng/NEA/14-00161-FULM-con
14316.65,neighbourhood-community-infrastructure-levy,14/00161/FULM-ag,14/00161/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-06-28,,/developer-agreement-contribution/local-authority-eng/NEA/14-00161-FULM-con
99.15,community-infrastructure-levy,17/00029/FUL-ag,17/00029/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-07-09,,/developer-agreement-contribution/local-authority-eng/NEA/17-00029-FUL-con
966.31,neighbourhood-community-infrastructure-levy,17/00029/FUL-ag,17/00029/FUL-con,,2020-11-26,local-authority-eng:NEA,2019-07-09,,/developer-agreement-contribution/local-authority-eng/NEA/17-00029-FUL-con
1468.94,community-infrastructure-levy,14/00161/FULM-ag,14/00161/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-08-30,,/developer-agreement-contribution/local-authority-eng/NEA/14-00161-FULM-con
14316.65,neighbourhood-community-infrastructure-levy,14/00161/FULM-ag,14/00161/FULM-con,,2020-11-26,local-authority-eng:NEA,2019-08-30,,/developer-agreement-contribution/local-authority-eng/NEA/14-00161-FULM-con
1468.94,community-infrastructure-levy,14/00161/FULM-ag,14/00161/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-01-21,,/developer-agreement-contribution/local-authority-eng/NEA/14-00161-FULM-con
14316.65,neighbourhood-community-infrastructure-levy,14/00161/FULM-ag,14/00161/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-01-21,,/developer-agreement-contribution/local-authority-eng/NEA/14-00161-FULM-con
112.77,community-infrastructure-levy,15/00501/FULM-ag,15/00501/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-02-21,,/developer-agreement-contribution/local-authority-eng/NEA/15-00501-FULM-con
1099.04,neighbourhood-community-infrastructure-levy,15/00501/FULM-ag,15/00501/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-02-21,,/developer-agreement-contribution/local-authority-eng/NEA/15-00501-FULM-con
112.16,community-infrastructure-levy,15/00501/FULM-ag,15/00501/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-02-28,,/developer-agreement-contribution/local-authority-eng/NEA/15-00501-FULM-con
1093.18,neighbourhood-community-infrastructure-levy,15/00501/FULM-ag,15/00501/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-02-28,,/developer-agreement-contribution/local-authority-eng/NEA/15-00501-FULM-con
112.16,community-infrastructure-levy,15/00501/FULM-ag,15/00501/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-03-26,,/developer-agreement-contribution/local-authority-eng/NEA/15-00501-FULM-con
1093.18,neighbourhood-community-infrastructure-levy,15/00501/FULM-ag,15/00501/FULM-con,,2020-11-26,local-authority-eng:NEA,2020-03-26,,/developer-agreement-contribution/local-authority-eng/NEA/15-00501-FULM-con
